"","season","scenario","model","value.past","value.present","value.future","change"
"247","other","rcp45","hadgem2-es",1.4115462962963,3.24788555555556,5.28289236111111,3.87134606481481
"250","spring","rcp45","hadgem2-es",8.07480718954248,9.71802166666667,11.3892795138889,3.31447232434641
"253","other","rcp60","hadgem2-es",1.4115462962963,3.02385722222222,5.53936805555556,4.12782175925926
"256","spring","rcp60","hadgem2-es",8.07480718954248,9.602545,11.6395260416667,3.56471885212418
"259","other","rcp85","hadgem2-es",1.4115462962963,3.52887111111111,7.64055381944444,6.22900752314815
"262","spring","rcp85","hadgem2-es",8.07480718954248,9.74437166666667,13.470453125,5.39564593545752
"265","other","rcp26","ipsl-cm5a-lr",1.44571169208424,3.12990592592593,3.62459490740741,2.17888321532317
"268","spring","rcp26","ipsl-cm5a-lr",8.08324836601307,9.54836,9.99671527777778,1.91346691176471
"271","other","rcp45","ipsl-cm5a-lr",1.44229193899782,3.31114111111111,4.93120428240741,3.48891234340959
"274","spring","rcp45","ipsl-cm5a-lr",8.0828545751634,9.77167166666667,11.2312777777778,3.14842320261438
"277","other","rcp60","ipsl-cm5a-lr",1.46750762527233,3.0386,5.10148148148148,3.63397385620915
"280","spring","rcp60","ipsl-cm5a-lr",8.09761437908497,9.67016666666667,11.1611319444444,3.06351756535948
"283","other","rcp85","ipsl-cm5a-lr",1.44229193899782,3.58914444444444,7.29120023148148,5.84890829248366
"286","spring","rcp85","ipsl-cm5a-lr",8.0828545751634,9.93187333333333,13.1003125,5.0174579248366
"289","other","rcp26","ipsl-cm5a-mr",1.4119302832244,2.94474666666667,3.53552777777778,2.12359749455338
"292","spring","rcp26","ipsl-cm5a-mr",8.13743137254902,9.50133333333333,10.0125625,1.87513112745098
"295","other","rcp45","ipsl-cm5a-mr",1.4119302832244,3.11790222222222,4.99846990740741,3.58653962418301
"298","spring","rcp45","ipsl-cm5a-mr",8.13743137254902,9.89032,11.4052013888889,3.26777001633987
"301","other","rcp60","ipsl-cm5a-mr",1.4119302832244,3.17343111111111,5.18638657407407,3.77445629084967
"304","spring","rcp60","ipsl-cm5a-mr",8.13743137254902,9.86973333333333,11.6112291666667,3.47379779411765
"307","other","rcp85","ipsl-cm5a-mr",1.4119302832244,3.55267777777778,7.26886111111111,5.85693082788671
"310","spring","rcp85","ipsl-cm5a-mr",8.13743137254902,10.19244,13.4447569444444,5.30732557189542
"313","other","rcp26","miroc-esm",1.43870806100218,3.46052666666667,4.93770833333333,3.49900027233115
"316","spring","rcp26","miroc-esm",8.09909150326797,10.7062266666667,11.9863541666667,3.88726266339869
"319","other","rcp45","miroc-esm",1.43870806100218,3.61231111111111,6.10105092592593,4.66234286492375
"322","spring","rcp45","miroc-esm",8.09909150326797,10.7396466666667,12.5721597222222,4.47306821895425
"325","other","rcp60","miroc-esm",1.43870806100218,3.0356,6.21441666666667,4.77570860566449
"328","spring","rcp60","miroc-esm",8.09909150326797,10.29184,12.656625,4.55753349673203
"331","other","rcp85","miroc-esm",1.43870806100218,3.54260888888889,8.11525925925926,6.67655119825708
"334","spring","rcp85","miroc-esm",8.09909150326797,10.74362,14.5762638888889,6.47717238562091
"337","other","rcp26","miroc-esm-chem",1.41794117647059,3.62829333333333,4.75044907407407,3.33250789760349
"340","spring","rcp26","miroc-esm-chem",8.07533333333333,11.0386733333333,11.9851041666667,3.90977083333333
"343","other","rcp45","miroc-esm-chem",1.41794117647059,3.42576,5.84969675925926,4.43175558278867
"346","spring","rcp45","miroc-esm-chem",8.07533333333333,10.8354,12.9510625,4.87572916666667
"349","other","rcp60","miroc-esm-chem",1.41794117647059,3.22714,6.19050231481481,4.77256113834423
"352","spring","rcp60","miroc-esm-chem",8.07533333333333,10.5405533333333,13.1756180555556,5.10028472222222
"355","other","rcp85","miroc-esm-chem",1.41794117647059,3.66675111111111,8.44574305555556,7.02780187908497
"358","spring","rcp85","miroc-esm-chem",8.07533333333333,11.16134,15.0775833333333,7.00225
"361","other","rcp26","miroc5",1.42930065359477,3.01923333333333,3.45278935185185,2.02348869825708
"364","spring","rcp26","miroc5",8.10557516339869,10.74722,11.7981527777778,3.69257761437908
"367","other","rcp45","miroc5",1.42930065359477,3.2629,4.59998148148148,3.17068082788671
"370","spring","rcp45","miroc5",8.10557516339869,11.4080466666667,13.4830486111111,5.37747344771242
"373","other","rcp60","miroc5",1.42930065359477,2.7113,4.65399074074074,3.22469008714597
"376","spring","rcp60","miroc5",8.10557516339869,10.63354,13.1724305555556,5.06685539215686
"379","other","rcp85","miroc5",1.42930065359477,3.21708222222222,6.28883796296296,4.85953730936819
"382","spring","rcp85","miroc5",8.10557516339869,11.26256,15.2579166666667,7.15234150326797
"385","other","rcp26","noresm1-m",1.44747494553377,2.95663777777778,3.44337268518519,1.99589773965142
"388","spring","rcp26","noresm1-m",8.08088888888889,10.0697133333333,10.2425555555556,2.16166666666667
"391","other","rcp45","noresm1-m",1.44747494553377,2.74811111111111,4.62998842592593,3.18251348039216
"394","spring","rcp45","noresm1-m",8.08088888888889,10.0818866666667,11.8909305555556,3.81004166666667
"397","other","rcp60","noresm1-m",1.44747494553377,2.54592,4.464125,3.01665005446623
"400","spring","rcp60","noresm1-m",8.08088888888889,9.7102,11.7222847222222,3.64139583333333
"403","other","rcp85","noresm1-m",1.44747494553377,3.28959555555556,6.17266898148148,4.72519403594771
"406","spring","rcp85","noresm1-m",8.08088888888889,10.4071333333333,13.2671736111111,5.18628472222222
"409","other","rcp26","noresm1-me",1.44909368191721,2.99181111111111,3.57113194444444,2.12203826252723
"412","spring","rcp26","noresm1-me",8.09486274509804,9.91520666666667,10.5014722222222,2.40660947712418
"415","other","rcp45","noresm1-me",1.44909368191721,3.07073777777778,4.93416203703704,3.48506835511983
"418","spring","rcp45","noresm1-me",8.09486274509804,10.1052333333333,11.6340694444444,3.5392066993464
"421","other","rcp60","noresm1-me",1.44909368191721,3.03713333333333,4.60447222222222,3.15537854030501
"424","spring","rcp60","noresm1-me",8.09486274509804,9.56822666666667,11.6782222222222,3.58335947712418
"427","other","rcp85","noresm1-me",1.44909368191721,3.21167555555556,6.50765046296296,5.05855678104575
"430","spring","rcp85","noresm1-me",8.09486274509804,9.98535333333333,13.5376944444444,5.4428316993464
